,Table,Catalogue,Data Item Description,Series Type,Series ID,Freq.,Series Start,Series End,No. Obs.,Unit,Data Type,Collection Month
34949,"TABLE 21. Value of Residential Building Work Done by Sector, Australia","8752.0 Building Activity, Australia",Value of work done during quarter ;  New ;  Houses ;  Private Sector ;,Original,A83791675T,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52571,"TABLE 21. Value of Work Commenced, by Sector, South Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work commenced ;  South Australia ;  By the private sector for the private sector ;  Heavy industry ;,Original,A1840165W,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
43119,"TABLE 22. BUSINESS GROSS OPERATING PROFITS/SALES RATIO, Current prices, Original","5676.0 Business Indicators, Australia",Gross operating profit to sales ratio ;  Total (State) ;  Administrative and support services ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Original,A3531536A,Quarter,1999-03-01,2023-12-01,100,Quotient,RATIO,3
7451,TABLE 22. Financial Assets and Liabilities of Money Market Financial Investment Funds ($ million),5232.0 Australian National Accounts: Finance and Wealth,"Net transactions during period ;  Assets ;  Bonds, etc. issued by: ;  Securitisers ;",Original,A3360338J,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
31646,TABLE 22. GOODS AND SERVICES DEBITS BY STATE ON A BALANCE OF PAYMENTS BASIS - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia","Current Price ;  Goods and Services, Tasmania ;",Original,A85093018K,Quarter,2011-09-01,2023-12-01,50,$ Millions,FLOW,3
37349,"TABLE 22. Value of Residential Building Work Done by Sector, New South Wales","8752.0 Building Activity, Australia",Value of work done during quarter ;  New South Wales ;  Total (Type of Work) ;  Total Residential ;  Total Sectors ;,Trend,A83802307A,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
51594,"TABLE 22. Value of Work Done, by Sector, South Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  South Australia ;  By the private sector for the private sector ;  Recreation and other ;,Original,A1840160K,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
5202,TABLE 23. Financial Assets and Liabilities of Non-Money Market Financial Investment Funds ($ million),5232.0 Australian National Accounts: Finance and Wealth,"Amounts outstanding at end of period ;  Assets ;  Bonds, etc. issued by: ;  Rest of world ;",Original,A3363307W,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
42964,"TABLE 23. INVENTORIES/SALES RATIO, Current prices, Original","5676.0 Business Indicators, Australia",Inventories to sales ratio ;  Total (State) ;  Wholesale trade ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Original,A3531355R,Quarter,1989-06-01,2023-12-01,139,Quotient,RATIO,3
33545,TABLE 23. SELECTED INTERNATIONAL ACCOUNTS RATIOS: SEASONALLY ADJUSTED - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia",Net foreign debt ratios to GNI ;,Seasonally Adjusted,A3572052V,Quarter,1959-09-01,2023-12-01,258,Number,DERIVED,3
38447,"TABLE 23. Value of Residential Building Work Done by Sector, Victoria","8752.0 Building Activity, Australia",Value of work done during quarter ;  Victoria ;  New ;  Houses ;  Private Sector ;,Original,A83791707X,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
51895,"TABLE 23. Value of Work Yet To Be Done, by Sector, South Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work yet to be done ;  South Australia ;  Total all sectors ;  Recreation and other ;,Original,A1840866L,Quarter,1986-09-01,2023-12-01,150,$'000,STOCK_CLOSE,3
3915,TABLE 24. Financial Assets and Liabilities of Central Borrowing Authorities ($ million),5232.0 Australian National Accounts: Finance and Wealth,"Amounts outstanding at end of period ;  Liabilities ;  Bonds, etc. issued in Australia held by: ;  Securitisers ;",Original,A3363877X,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
33758,TABLE 24. QUARTERLY COMBINED CURRENT PRICE SEASONAL ADJUSTMENT FACTORS,"5302.0 Balance of Payments and International Investment Position, Australia","Services credits, Freight transport ;",Original,A3538988T,Quarter,1959-09-01,2024-12-01,262,$ Millions,FLOW,3
36434,"TABLE 24. Value of Residential Building Work Done by Sector, Queensland","8752.0 Building Activity, Australia",Value of work done during quarter ;  Queensland ;  New ;  Total Residential ;  Total Sectors ;,Original,A83794107X,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52036,"TABLE 24. Value of Work Commenced, by Sector, Western Australia, Original","8762.0 Engineering Construction Activity, Australia","Value of work commenced ;  Western Australia ;  Total all sectors ;  Roads, highways and subdivisions ;",Original,A1841566C,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
33900,TABLE 25. EXPORTS BY SITC DIVISION ON A BALANCE OF PAYMENTS BASIS - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia",Implicit Price Deflators ;  Metalliferous ores and metal scrap ;,Original,A3536967V,Quarter,1959-09-01,2023-12-01,258,Index Numbers,INDEX,3
2496,TABLE 25. Financial Assets and Liabilities of Securitisers ($ million),5232.0 Australian National Accounts: Finance and Wealth,"Net transactions during period ;  Liabilities ;  Bonds, etc. issued in Australia held by: ;  State and local general government ;",Original,A3369986V,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
36908,"TABLE 25. Value of Residential Building Work Done by Sector, South Australia","8752.0 Building Activity, Australia",Value of work done during quarter ;  South Australia ;  New ;  Houses ;  Private Sector ;,Original,A83791715X,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52067,"TABLE 25. Value of Work Done, by Sector, Western Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Western Australia ;  Total all sectors ;  Total (Type of Construction) ;,Original,A1841639F,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
10699,TABLE 26. Financial Assets and Liabilities of Other Financial Corporations ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ;  Liabilities ;  Other accounts payable ;  Non-life insurance corporations ;,Original,A3369655A,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
30205,TABLE 26. IMPORTS BY BROAD ECONOMIC CATEGORY ON A BALANCE OF PAYMENTS BASIS - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia",Chain Volume Measures ;  PAPER AND PAPERBOARD ;,Original,A3537278F,Quarter,1959-09-01,2023-12-01,258,$ Millions,FLOW,3
35359,"TABLE 26. Value of Residential Building Work Done by Sector, Western Australia","8752.0 Building Activity, Australia",Value of work done during quarter ;  Western Australia ;  New ;  Total Other Residential ;  Total Sectors ;,Seasonally Adjusted,A83794067T,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52220,"TABLE 26. Value of Work Yet To Be Done, by Sector, Western Australia, Original","8762.0 Engineering Construction Activity, Australia",Value of work yet to be done ;  Western Australia ;  Total all sectors ;  Telecommunications ;,Original,A1841595R,Quarter,1986-09-01,2023-12-01,150,$'000,STOCK_CLOSE,3
10091,"TABLE 27. General Government Capital Account, Current prices ($ million)",5232.0 Australian National Accounts: Finance and Wealth,Net lending (+) / net borrowing (-) ;,Trend,A83823056K,Quarter,1988-09-01,2023-12-01,142,$ Millions,DERIVED,3
30807,TABLE 27. INTERNATIONAL INVESTMENT: DIRECTIONAL PRINCIPLE - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia",Changes in position reflecting - transactions ;  RESERVE ASSETS ;,Original,A3535385A,Quarter,1988-09-01,2023-12-01,142,$ Millions,FLOW,3
35406,"TABLE 27. Value of Residential Building Work Done by Sector, Tasmania","8752.0 Building Activity, Australia",Value of work done during quarter ;  Tasmania ;  Total (Type of Work) ;  Total Residential ;  Private Sector ;,Original,A83799299V,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52293,"TABLE 27. Value of Work Commenced, by Sector, Tasmania, Original","8762.0 Engineering Construction Activity, Australia",Value of work commenced ;  Tasmania ;  Total all sectors ;  Heavy industry ;,Original,A1842391F,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
5004,TABLE 28. Financial Assets and Liabilities of General Government ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ;  Liabilities ;  Long term loans and placements held by: ;  Authorised deposit taking Institutions ;,Original,A3379850V,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
33700,TABLE 28. SUMMARY OF REVISIONS - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia","Financial derivatives, Liabilities ;",Original,A3539151J,Quarter,1959-09-01,2023-09-01,257,$ Millions,FLOW,3
36166,"TABLE 28. Value of Residential Building Work Done by Sector, Northern Territory","8752.0 Building Activity, Australia",Value of work done during quarter ;  Northern Territory ;  Total (Type of Work) ;  Total Residential ;  Total Sectors ;,Trend,A83802355V,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
51939,"TABLE 28. Value of Work Done, by Sector, Tasmania, Original","8762.0 Engineering Construction Activity, Australia","Value of work done ;  Tasmania ;  Total all sectors ;  Electricity generation, transmission etc. and pipelines ;",Original,A1842380X,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
33956,TABLE 29. INTERNATIONAL INVESTMENT POSITION: HISTORICAL SUMMARY - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia",Net International Investment Position ;,Original,A3510666J,Quarter,1988-09-01,2023-12-01,142,$ Millions,STOCK_CLOSE,3
1881,"TABLE 29. National General Government Capital Account, Current prices ($ million)",5232.0 Australian National Accounts: Finance and Wealth,TOTAL CAPITAL ACCUMULATION AND NET LENDING (+) / NET BORROWING (-) ;,Original,A83822854K,Quarter,1988-09-01,2023-12-01,142,$ Millions,DERIVED,3
37087,"TABLE 29. Value of Residential Building Work Done by Sector, Australian Capital Territory","8752.0 Building Activity, Australia",Value of work done during quarter ;  Australian Capital Territory ;  New ;  Houses ;  Total Sectors ;,Seasonally Adjusted,A83793843C,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52135,"TABLE 29. Value of Work Yet To Be Done, by Sector, Tasmania, Original","8762.0 Engineering Construction Activity, Australia","Value of work yet to be done ;  Tasmania ;  By the private sector for the private sector ;  Bridges, railways and harbours ;",Original,A1841691R,Quarter,1986-09-01,2023-12-01,150,$'000,STOCK_CLOSE,3
29318,"TABLE 3. Average Weekly Earnings, Australia (Dollars) - Original","6302.0 Average Weekly Earnings, Australia",Standard Errors ;  Earnings; Males; Total earnings ;,Original,A85027651K,Biannual,2009-05-15,2023-11-15,30,$,RATIO,2
31165,TABLE 3. FOREIGN ASSETS AND LIABILITIES: BY EQUITY AND DEBT - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia",Changes in position reflecting - other adjustments ;  FOREIGN ASSETS - DEBT ;,Original,A3484287L,Quarter,1988-09-01,2023-12-01,142,$ Millions,FLOW,3
53340,"TABLE 3. GOODS CREDITS, Original, Current prices",5368.0 International Trade in Goods,Goods acquired under merchanting (negative exports) ;,Original,A2718035J,Month,1971-07-01,2024-02-01,632,$ Millions,FLOW,1
99452,"TABLE 3. Gross Insurance, Mortgage Interest and Consumer Credit, Index Numbers and Percentage Changes, by Household Type","6467.0 Selected Living Cost Indexes, Australia",Percentage Change from Previous Period ;  Self-funded retiree households ;  Consumer credit charges ;,Original,A4114113K,Quarter,1998-09-01,2023-12-01,102,Percent,PERCENT,3
43295,"TABLE 3. INVENTORIES, Current prices","5676.0 Business Indicators, Australia",Inventories ;  Total (State) ;  Accommodation and food services ;  Current Price ;  TOTAL (SCP_SCOPE) ;,Original,A3531407F,Quarter,1984-06-01,2023-12-01,159,$ Millions,STOCK_CLOSE,3
54608,"TABLE 3. Job Vacancies, Public Sector, States and Territories ('000)","6354.0 Job Vacancies, Australia",Job Vacancies ;  Public ;  New South Wales ;,Original,A590708X,Quarter,1983-11-15,2024-02-15,162,000,STOCK,2
84696,"TABLE 3. LIFE INSURANCE OFFICES, Unconsolidated assets, Amounts outstanding at end of period","5655.0 Managed Funds, Australia","TOTAL ASSETS, Assets (held) in Australia, Other non-financial assets ;",Original,A3581697W,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
5704,"TABLE 3. National Capital Account, Current prices ($ million)",5232.0 Australian National Accounts: Finance and Wealth,"Capital transfers, Payable to non-residents ;",Seasonally Adjusted,A83822318F,Quarter,1988-09-01,2023-12-01,142,$ Millions,DERIVED,3
99256,"TABLE 3. Retail Turnover, By State","8501.0 Retail Trade, Australia",Turnover ;  Total (State) ;  Total (Industry) ;,Trend,A3348588W,Month,1982-04-01,2024-02-01,503,$ Millions,FLOW,1
10,"TABLE 3. SECURITISERS, TOTAL LOAN ASSETS, Loans to Households and Loans to Private Non-Financial Corporations ($million)",5232.0.55.001 Assets and Liabilities of Australian Securitisers,Value of data item ;  Total Loans ;,Original,A2149475C,Quarter,1988-12-01,2023-12-01,141,$ Millions,STOCK,3
30399,"TABLE 30. BALANCE OF PAYMENTS, SUMMARY: ORIGINAL - FINANCIAL YEAR","5302.0 Balance of Payments and International Investment Position, Australia","Financial derivatives, Assets ;",Original,A3536443F,Annual,1960-06-01,2023-06-01,64,$ Millions,FLOW,6
10162,TABLE 30. Financial Assets and Liabilities of National General Government ($ million),5232.0 Australian National Accounts: Finance and Wealth,Net transactions during period ;  Assets ;  One name paper issued by: ;  Authorised deposit taking Institutions ;,Original,A3371891V,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
35232,"TABLE 30. Value of Building Work Commenced by Sector, Australia","8752.0 Building Activity, Australia",Value of work commenced ;  Total Residential ;  Total Sectors ;,Trend,A83802333F,Quarter,1973-09-01,2023-12-01,202,$'000,FLOW,3
52241,"TABLE 30. Value of Work Commenced, by Sector, Northern Territory, Original","8762.0 Engineering Construction Activity, Australia","Value of work commenced ;  Northern Territory ;  Total all sectors ;  Bridges, railways and harbours ;",Original,A1843117J,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
30769,"TABLE 31. SELECTED SERVICES, CHAIN VOLUME MEASURES AND IMPLICIT PRICE DEFLATORS: ORIGINAL - QUARTER","5302.0 Balance of Payments and International Investment Position, Australia","Implicit Price Deflators ;  Services debits, Government goods and services n.i.e. ;",Original,A3534666C,Quarter,1959-09-01,2023-12-01,258,Index Numbers,INDEX,3
10142,"TABLE 31. State and Local General Government Capital Account, Current prices ($ million)",5232.0 Australian National Accounts: Finance and Wealth,GROSS SAVING AND CAPITAL TRANSFERS ;,Original,A83822567V,Quarter,1988-09-01,2023-12-01,142,$ Millions,DERIVED,3
35688,"TABLE 31. Value of Residential Building Work Commenced by Sector, Australia","8752.0 Building Activity, Australia",Value of work commenced ;  New ;  Houses ;  Private Sector ;,Trend,A83792109T,Quarter,1969-09-01,2023-12-01,218,$'000,FLOW,3
52270,"TABLE 31. Value of Work Done, by Sector, Northern Territory, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Northern Territory ;  Total all sectors ;  Recreation and other ;,Original,A1843127L,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
4012,TABLE 32. Financial Assets and Liabilities of State and Local General Government ($ million),5232.0 Australian National Accounts: Finance and Wealth,Net transactions during period ;  Liabilities ;  One name paper issued in Australia held by: ;  Non-money market financial investment funds ;,Original,A3605078R,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
36587,"TABLE 32. Value of Total Building Work Done, States and Territories","8752.0 Building Activity, Australia",Value of work done during quarter ;  Australia ;,Trend,A83802403A,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
52018,"TABLE 32. Value of Work Yet To Be Done, by Sector, Northern Territory, Original","8762.0 Engineering Construction Activity, Australia",Value of work yet to be done ;  Northern Territory ;  Total all sectors ;  Recreation and other ;,Original,A1843128R,Quarter,1986-09-01,2023-12-01,150,$'000,STOCK_CLOSE,3
2411,"TABLE 33. Household Capital Account, Current prices ($ million)",5232.0 Australian National Accounts: Finance and Wealth,GROSS SAVING AND CAPITAL TRANSFERS ;,Trend,A83823084V,Quarter,1988-09-01,2023-12-01,142,$ Millions,DERIVED,3
36592,"TABLE 33. Number of Dwelling Unit Commencements by Sector, Australia","8752.0 Building Activity, Australia",Dwelling units commenced ;  Total Sectors ;  Total Other Residential ;  New ;,Original,A83794488R,Quarter,1955-09-01,2023-12-01,274,Number,FLOW,3
52068,"TABLE 33. Value of Work Commenced, by Sector, Australian Capital Territory, Original","8762.0 Engineering Construction Activity, Australia","Value of work commenced ;  Australian Capital Territory ;  By the private sector for the private sector ;  Roads, highways and subdivisions ;",Original,A1843144R,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
7557,TABLE 34. Financial Assets and Liabilities of Households ($ million),5232.0 Australian National Accounts: Finance and Wealth,"Net transactions during period ;  Assets ;  Bonds, etc. issued by: ;  Life insurance corporations ;",Original,A3370433T,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
37476,"TABLE 34. Number of Dwelling Unit Commencements by Sector, States and Territories","8752.0 Building Activity, Australia",Dwelling units commenced ;  Queensland ;  Total (Type of Building) ;  Total (Type of Work) ;  Total Sectors ;,Seasonally Adjusted,A83801528L,Quarter,1984-09-01,2023-12-01,158,Number,FLOW,3
51568,"TABLE 34. Value of Work Done, by Sector, Australian Capital Territory, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Australian Capital Territory ;  By the private sector for the private sector ;  Telecommunications ;,Original,A1843172X,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
5055,"TABLE 35. Household Balance Sheet, Current prices ($ billion)",5232.0 Australian National Accounts: Finance and Wealth,Residential land and dwellings ;,Original,A83728305F,Quarter,1988-09-01,2023-12-01,142,$ Billions,DERIVED,3
38143,"TABLE 35. Number of Dwelling Unit Commencements, States and Territories","8752.0 Building Activity, Australia",Dwelling units commenced ;  Western Australia ;,Original,A83801992T,Quarter,1984-09-01,2023-12-01,158,Number,FLOW,3
51919,"TABLE 35. Value of Work Yet To Be Done, by Sector, Australian Capital Territory, Original","8762.0 Engineering Construction Activity, Australia",Value of work yet to be done ;  Australian Capital Territory ;  Total all sectors ;  Recreation and other ;,Original,A1843851A,Quarter,1986-09-01,2023-12-01,150,$'000,STOCK_CLOSE,3
9216,"TABLE 36. Analytical Measures of Household Income, Consumption, Saving and Wealth, Current prices ($ billion)",5232.0 Australian National Accounts: Finance and Wealth,Final consumption expenditure ;,Original,A83722661T,Quarter,1989-09-01,2023-12-01,138,$ Billions,DERIVED,3
34429,"TABLE 36. Number of Dwelling Unit Commencements by Sector, States and Territories: Original","8752.0 Building Activity, Australia",Dwelling units commenced ;  Private Sector ;  Dwellings excluding new residential ;  Total (Type of Work) ;  Victoria ;,Original,A83799632L,Quarter,1984-09-01,2023-12-01,158,Number,FLOW,3
52406,"TABLE 36. Value of Work Done by the Private Sector, for Sector, States and Territories, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  Total by the private sector ;  Total (Area (State +)) ;,Original,A1837106L,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
35048,"TABLE 37. Number of Dwelling Unit Completions by Sector, Australia","8752.0 Building Activity, Australia",Dwelling units completed ;  Private Sector ;  Total Other Residential ;  New ;,Original,A83791897X,Quarter,1955-09-01,2023-12-01,274,Number,FLOW,3
8026,"TABLE 37. Rest of World Capital Account, Current prices ($ million)",5232.0 Australian National Accounts: Finance and Wealth,BALANCE ON EXTERNAL INCOME AND CAPITAL TRANSFERS ;,Trend,A83823050W,Quarter,1988-09-01,2023-12-01,142,$ Millions,DERIVED,3
52539,"TABLE 37. Value of Work Done by the Public Sector, by Level of Government, States and Territories, Original","8762.0 Engineering Construction Activity, Australia","Value of work done ;  Total by Commonwealth, State and Territory Governments ;  New South Wales ;",Original,A83712693X,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
7215,TABLE 38. Financial Assets and Liabilities of Rest of World ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ;  Liabilities ;  Prepayments of premiums and reserves against outstanding claims held by: ;  Other private non-financial corporations ;,Original,A3545321A,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
37811,"TABLE 38. Number of Dwelling Unit Completions by Sector, States and Territories","8752.0 Building Activity, Australia",Dwelling units completed ;  Queensland ;  Total (Type of Building) ;  Total (Type of Work) ;  Private Sector ;,Seasonally Adjusted,A83798937J,Quarter,1984-09-01,2023-12-01,158,Number,FLOW,3
51684,"TABLE 38. Value of Work Done for the Public Sector, by Sector, States and Territories, Original","8762.0 Engineering Construction Activity, Australia",Value of work done ;  By the private sector for the public sector ;  Northern Territory ;,Original,A1842551F,Quarter,1986-09-01,2023-12-01,150,$'000,FLOW,3
37908,"TABLE 39. Number of Dwelling Unit Completions by Sector, States and Territories: Original","8752.0 Building Activity, Australia",Dwelling units completed ;  Total Sectors ;  Total (Type of Building) ;  Total (Type of Work) ;  Tasmania ;,Original,A83801969V,Quarter,1984-09-01,2023-12-01,158,Number,FLOW,3
5321,TABLE 39. The Currency Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,Net transactions during period ;  Central bank ;  Public non-financial corporations ;,Original,A83834904V,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
85079,"TABLE 3b. MINERAL EXPLORATION, (Other than for petroleum) - Expenditure by type of deposit","8412.0 Mineral and Petroleum Exploration, Australia",Expenditure ;  Victoria ;  Total deposits ;  Total (List of Minerals) ;,Original,A2266864X,Quarter,1988-09-01,2023-12-01,142,$ Millions,FLOW,3
29230,"TABLE 4. Average Weekly Earnings, Private Sector - Australia (Dollars) - Trend","6302.0 Average Weekly Earnings, Australia",Earnings; Persons; Full Time; Adult; Ordinary time earnings ;  Private sector ;,Trend,A85002064C,Biannual,2012-05-15,2023-11-15,24,$,RATIO,2
30074,TABLE 4. CURRENT ACCOUNT TRANSACTIONS: SEASONALLY ADJUSTED AND TREND ESTIMATES - QUARTER,"5302.0 Balance of Payments and International Investment Position, Australia",Services debits ;,Seasonally Adjusted,A3535257J,Quarter,1959-09-01,2023-12-01,258,$ Millions,FLOW,3
86749,"TABLE 4. Estimated Resident Population, States and Territories (Number)","3101.0 National, state and territory population",Estimated Resident Population ;  Persons ;  Northern Territory ;,Original,A2060849W,Quarter,1981-06-01,2023-09-01,170,Persons,STOCK_CLOSE,3
53955,"TABLE 4. GOODS DEBITS, Original, Current prices",5368.0 International Trade in Goods,Capital goods ;,Original,A2718126R,Month,1971-07-01,2024-02-01,632,$ Millions,FLOW,1
42914,"TABLE 4. INCOME FROM SALES OF GOODS AND SERVICES, Chain volume measures","5676.0 Business Indicators, Australia",Sales ;  Total (State) ;  Accommodation and food services ;  Chain Volume Measures ;  TOTAL (SCP_SCOPE) ;,Original,A3538824W,Quarter,1999-03-01,2023-12-01,100,$ Millions,FLOW,3
54631,"TABLE 4. Job Vacancies, Industry, Australia ('000) - Original","6354.0 Job Vacancies, Australia",Job Vacancies ;  Construction ;,Original,A3571817T,Quarter,2009-11-15,2024-02-15,58,000,STOCK,2
85101,"TABLE 4. MINERAL EXPLORATION, (Other than for petroleum) - Expenditure by state and territory","8412.0 Mineral and Petroleum Exploration, Australia",Expenditure ;  Australia ;  Total deposits ;,Seasonally Adjusted,A2266893K,Quarter,1988-09-01,2023-12-01,142,$ Millions,FLOW,3
4620,TABLE 4. National Financial Assets and Liabilities ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ; Liabilities ; Other accounts payable ;,Original,A83834845F,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
99311,"TABLE 4. Retail Turnover, By State - Percentage change from previous month","8501.0 Retail Trade, Australia",% change from preceding month ;  New South Wales ;  Total (Industry) ;,Seasonally Adjusted,A3348649R,Month,1982-04-01,2024-02-01,503,Percent,PERCENT,1
84831,"TABLE 4. SUPERANNUATION FUNDS, Unconsolidated assets, Amounts outstanding at end of period","5655.0 Managed Funds, Australia",TOTAL ASSETS ;,Original,A3581479X,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
8084,TABLE 40. The Transferable Deposits Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ;  Central bank ;  Total (Counterparty sectors) ;,Original,A3431315X,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
34832,"TABLE 40. Value of Building Work by Sector, Australia: Original","8752.0 Building Activity, Australia",Value of work done during quarter ;  Total Sectors ;  Total Residential ;  Alterations and additions including conversions ;,Original,A83798011C,Quarter,1973-09-01,2023-12-01,202,$'000,FLOW,3
9178,TABLE 41. The Other Deposits Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ;  Authorised deposit taking Institutions ;  Money market financial investment funds ;,Original,A3358582V,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
34798,"TABLE 41. Value of Building Work by Sector, New South Wales: Original","8752.0 Building Activity, Australia",Value of work commenced ;  New South Wales ;  Public Sector ;  Total Residential ;  Total (Type of Work) ;,Original,A83800581F,Quarter,1969-09-01,2023-12-01,218,$'000,FLOW,3
5881,TABLE 42. The Bills of Exchange Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,Net transactions during period ;  Other broad money Institutions ;  Authorised deposit taking Institutions ;,Original,A3360233L,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
38114,"TABLE 42. Value of Building Work by Sector, Victoria: Original","8752.0 Building Activity, Australia",Value of work done during quarter ;  Victoria ;  Private Sector ;  Total Residential ;  Alterations and additions including conversions ;,Original,A83795451C,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
6237,TABLE 43. The One Name Paper Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ;  One name paper issued by: ;  National general government ;  Other financial corporations ;,Original,A3360772X,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
37572,"TABLE 43. Value of Building Work by Sector, Queensland: Original","8752.0 Building Activity, Australia",Value of work completed ;  Queensland ;  Private Sector ;  Total (Type of Building) ;  Total (Type of Work) ;,Original,A83799366J,Quarter,1984-09-01,2023-12-01,158,$'000,FLOW,3
2389,TABLE 44. The Bonds Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,"Amounts outstanding at end of period ;  Bonds, etc. issued in Australia ;  Rest of world ;  Rest of world ;",Original,A3365431T,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
37183,"TABLE 44. Value of Building Work by Sector, South Australia: Original","8752.0 Building Activity, Australia",Value of work done during quarter ;  South Australia ;  Total Sectors ;  Total Other Residential ;  New ;,Original,A83794523K,Quarter,1974-09-01,2023-12-01,198,$'000,FLOW,3
4125,TABLE 45. The Derivatives and Employee Stock Options Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,Net transactions during period ;  Private non-financial investment funds ;  Authorised deposit taking Institutions ;,Original,A124984311X,Quarter,1988-06-01,2023-12-01,143,$ Millions,FLOW,3
35999,"TABLE 45. Value of Building Work by Sector, Western Australia: Original","8752.0 Building Activity, Australia",Value of work completed ;  Western Australia ;  Total Sectors ;  Total (Type of Building) ;  Total (Type of Work) ;,Original,A83801990L,Quarter,1980-09-01,2023-12-01,174,$'000,FLOW,3
9596,TABLE 46. The Short Term Loans and Placements Market ($ million),5232.0 Australian National Accounts: Finance and Wealth,Amounts outstanding at end of period ;  Non-money market financial investment funds ;  Total (Counterparty sectors) ;,Original,A3425813A,Quarter,1988-06-01,2023-12-01,143,$ Millions,STOCK_CLOSE,3
35727,"TABLE 46. Value of Building Work by Sector, Tasmania: Original","8752.0 Building Activity, Australia",Value of work completed ;  Tasmania ;  Private Sector ;  Total Other Residential ;  New ;,Original,A83791886T,Quarter,1984-09-01,2023-12-01,158,$'000,FLOW,3
